year,month,state,medium,partisanship_scenario,diet_threshold,left_pct,right_pct
2016,1,AK,tv,lenient,50,0.028,0.101
2016,1,AK,tv,lenient,75,0.014,0.082
2016,1,AK,tv,stringent,50,0.028,0.101
2016,1,AK,tv,stringent,75,0.000,0.082
2016,1,AK,web,lenient,50,0.006,0.053
2016,1,AK,web,lenient,75,0.000,0.000
2016,1,AK,web,stringent,50,0.005,0.000
2016,1,AK,web,stringent,75,0.000,0.000
2016,1,AL,tv,lenient,50,0.047,0.085
2016,1,AL,tv,lenient,75,0.024,0.050
2016,1,AL,tv,stringent,50,0.020,0.085
2016,1,AL,tv,stringent,75,0.011,0.050
2016,1,AL,web,lenient,50,0.011,0.033
2016,1,AL,web,lenient,75,0.005,0.022
2016,1,AL,web,stringent,50,0.004,0.009
2016,1,AL,web,stringent,75,0.002,0.001
2016,1,AR,tv,lenient,50,0.030,0.089
2016,1,AR,tv,lenient,75,0.014,0.043
2016,1,AR,tv,stringent,50,0.011,0.089
2016,1,AR,tv,stringent,75,0.003,0.043
2016,1,AR,web,lenient,50,0.020,0.018
2016,1,AR,web,lenient,75,0.005,0.012
2016,1,AR,web,stringent,50,0.007,0.012
2016,1,AR,web,stringent,75,0.001,0.007
2016,1,AZ,tv,lenient,50,0.056,0.065
2016,1,AZ,tv,lenient,75,0.019,0.045
2016,1,AZ,tv,stringent,50,0.021,0.065
2016,1,AZ,tv,stringent,75,0.007,0.045
2016,1,AZ,web,lenient,50,0.023,0.037
2016,1,AZ,web,lenient,75,0.009,0.024
2016,1,AZ,web,stringent,50,0.010,0.014
2016,1,AZ,web,stringent,75,0.003,0.007
2016,1,CA,tv,lenient,50,0.047,0.056
2016,1,CA,tv,lenient,75,0.021,0.039
2016,1,CA,tv,stringent,50,0.015,0.056
2016,1,CA,tv,stringent,75,0.004,0.039
2016,1,CA,web,lenient,50,0.027,0.025
2016,1,CA,web,lenient,75,0.014,0.015
2016,1,CA,web,stringent,50,0.014,0.008
2016,1,CA,web,stringent,75,0.005,0.004
2016,1,CO,tv,lenient,50,0.035,0.075
2016,1,CO,tv,lenient,75,0.015,0.052
2016,1,CO,tv,stringent,50,0.013,0.075
2016,1,CO,tv,stringent,75,0.006,0.052
2016,1,CO,web,lenient,50,0.034,0.030
2016,1,CO,web,lenient,75,0.010,0.018
2016,1,CO,web,stringent,50,0.022,0.014
2016,1,CO,web,stringent,75,0.003,0.007
2016,1,CT,tv,lenient,50,0.071,0.074
2016,1,CT,tv,lenient,75,0.024,0.046
2016,1,CT,tv,stringent,50,0.019,0.074
2016,1,CT,tv,stringent,75,0.007,0.046
2016,1,CT,web,lenient,50,0.016,0.041
2016,1,CT,web,lenient,75,0.009,0.006
2016,1,CT,web,stringent,50,0.007,0.032
2016,1,CT,web,stringent,75,0.001,0.003
2016,1,DC,tv,lenient,50,0.109,0.062
2016,1,DC,tv,lenient,75,0.032,0.037
2016,1,DC,tv,stringent,50,0.056,0.062
2016,1,DC,tv,stringent,75,0.021,0.037
2016,1,DC,web,lenient,50,0.040,0.006
2016,1,DC,web,lenient,75,0.013,0.003
2016,1,DC,web,stringent,50,0.000,0.000
2016,1,DC,web,stringent,75,0.000,0.000
2016,1,DE,tv,lenient,50,0.031,0.043
2016,1,DE,tv,lenient,75,0.021,0.029
2016,1,DE,tv,stringent,50,0.010,0.043
2016,1,DE,tv,stringent,75,0.010,0.029
2016,1,DE,web,lenient,50,0.020,0.047
2016,1,DE,web,lenient,75,0.009,0.020
2016,1,DE,web,stringent,50,0.009,0.034
2016,1,DE,web,stringent,75,0.007,0.011
2016,1,FL,tv,lenient,50,0.057,0.086
2016,1,FL,tv,lenient,75,0.025,0.056
2016,1,FL,tv,stringent,50,0.023,0.086
2016,1,FL,tv,stringent,75,0.007,0.056
2016,1,FL,web,lenient,50,0.020,0.023
2016,1,FL,web,lenient,75,0.012,0.014
2016,1,FL,web,stringent,50,0.009,0.011
2016,1,FL,web,stringent,75,0.004,0.004
2016,1,GA,tv,lenient,50,0.053,0.087
2016,1,GA,tv,lenient,75,0.025,0.060
2016,1,GA,tv,stringent,50,0.016,0.087
2016,1,GA,tv,stringent,75,0.009,0.060
2016,1,GA,web,lenient,50,0.014,0.029
2016,1,GA,web,lenient,75,0.010,0.022
2016,1,GA,web,stringent,50,0.003,0.008
2016,1,GA,web,stringent,75,0.002,0.003
2016,1,HI,tv,lenient,50,0.062,0.013
2016,1,HI,tv,lenient,75,0.038,0.006
2016,1,HI,tv,stringent,50,0.014,0.013
2016,1,HI,tv,stringent,75,0.014,0.006
2016,1,HI,web,lenient,50,0.020,0.042
2016,1,HI,web,lenient,75,0.015,0.029
2016,1,HI,web,stringent,50,0.013,0.026
2016,1,HI,web,stringent,75,0.013,0.013
2016,1,IA,tv,lenient,50,0.031,0.057
2016,1,IA,tv,lenient,75,0.006,0.041
2016,1,IA,tv,stringent,50,0.016,0.057
2016,1,IA,tv,stringent,75,0.006,0.041
2016,1,IA,web,lenient,50,0.012,0.034
2016,1,IA,web,lenient,75,0.004,0.028
2016,1,IA,web,stringent,50,0.003,0.008
2016,1,IA,web,stringent,75,0.001,0.006
2016,1,ID,tv,lenient,50,0.032,0.123
2016,1,ID,tv,lenient,75,0.023,0.094
2016,1,ID,tv,stringent,50,0.005,0.123
2016,1,ID,tv,stringent,75,0.000,0.094
2016,1,ID,web,lenient,50,0.015,0.112
2016,1,ID,web,lenient,75,0.011,0.030
2016,1,ID,web,stringent,50,0.006,0.003
2016,1,ID,web,stringent,75,0.003,0.001
2016,1,IL,tv,lenient,50,0.038,0.069
2016,1,IL,tv,lenient,75,0.016,0.044
2016,1,IL,tv,stringent,50,0.014,0.069
2016,1,IL,tv,stringent,75,0.005,0.044
2016,1,IL,web,lenient,50,0.037,0.022
2016,1,IL,web,lenient,75,0.017,0.014
2016,1,IL,web,stringent,50,0.011,0.012
2016,1,IL,web,stringent,75,0.006,0.008
2016,1,IN,tv,lenient,50,0.038,0.078
2016,1,IN,tv,lenient,75,0.015,0.048
2016,1,IN,tv,stringent,50,0.021,0.078
2016,1,IN,tv,stringent,75,0.008,0.048
2016,1,IN,web,lenient,50,0.018,0.019
2016,1,IN,web,lenient,75,0.010,0.011
2016,1,IN,web,stringent,50,0.003,0.008
2016,1,IN,web,stringent,75,0.001,0.004
2016,1,KS,tv,lenient,50,0.031,0.072
2016,1,KS,tv,lenient,75,0.010,0.059
2016,1,KS,tv,stringent,50,0.015,0.072
2016,1,KS,tv,stringent,75,0.007,0.059
2016,1,KS,web,lenient,50,0.014,0.040
2016,1,KS,web,lenient,75,0.010,0.020
2016,1,KS,web,stringent,50,0.003,0.021
2016,1,KS,web,stringent,75,0.003,0.016
2016,1,KY,tv,lenient,50,0.045,0.104
2016,1,KY,tv,lenient,75,0.018,0.072
2016,1,KY,tv,stringent,50,0.020,0.104
2016,1,KY,tv,stringent,75,0.010,0.072
2016,1,KY,web,lenient,50,0.026,0.017
